id,article,link,alias,feedbackSelection,feedbackInput
1,https://en.wikipedia.org/wiki/2020%E2%80%9321_FC_Basel_season,https://www.fcb.ch/de-CH/News/2020/09/05/Eric-Ramires-kehrt-zum-EC-Bahia-zurueck,https://www.fcb.ch/aktuell/news/alle-news/2020/09/eric-ramires-kehrt-zum-ec-bahia-zurueck,Correct,
2,https://en.wikipedia.org/wiki/2020%E2%80%9321_FC_Basel_season,https://www.fcb.ch/de-CH/News/2020/09/01/Alle-Trainerposten-im-FCB-Nachwuchs-besetzt,https://www.fcb.ch/aktuell/news/alle-news/2020/09/alle-trainerposten-im-fcb-nachwuchs-besetzt,Correct,
3,https://en.wikipedia.org/wiki/2020%E2%80%9321_Swiss_Super_League,https://www.fcb.ch/de-CH/News/2020/08/27/Ciriaco-Sforza-als-Trainer-vorgestellt,https://www.fcb.ch/aktuell/news/1-mannschaft/2020/08/ciriaco-sforza-als-trainer-vorgestellt,Correct,
4,https://en.wikipedia.org/wiki/Eric_Ramires,https://www.fcb.ch/de-CH/News/2019/09/02/Ramires-leihweise-zum-FC-Basel-1893,https://www.fcb.ch/aktuell/news/1-mannschaft/2019/09/ramires-leihweise-zum-fc-basel-1893,Correct,
5,https://en.wikipedia.org/wiki/Zdravko_Kuzmanovi%C4%87,https://www.fcb.ch/de-CH/News/2020/06/12/FCB-und-Kuzmanovic-verlaengern-den-Vertrag-nicht,https://www.fcb.ch/aktuell/news/1-mannschaft/2020/06/fcb-und-kuzmanovic-verlaengern-den-vertrag-nicht,Correct,
6,https://en.wikipedia.org/wiki/2020%E2%80%9321_FC_Basel_season,https://www.fcb.ch/de-CH/News/2021/04/02/Pukaj-zurueck-beim-FCB-Steffen-zum-FC-Stade-Lausan,https://www.fcb.ch/aktuell/news/1-mannschaft/2021/04/pukaj-zurueck-beim-fcb-steffen-zu-stade-lausanne-ouchy,Correct,
7,https://en.wikipedia.org/wiki/Jorge_(footballer),https://www.fcb.ch/de-CH/News/2020/10/02/Jorge-Marco-de-Oliveira-Moraes-leihweise-zum-FCB,https://www.fcb.ch/aktuell/news/1-mannschaft/2020/10/jorge-marco-de-oliveira-moraes-leihweise-zum-fcb,Correct,
8,https://en.wikipedia.org/wiki/Philippines_Football_League,https://www.dugout.ph/pff-qatar-airways-seals-deal-for-pfl,https://www.dugout.ph/2020/01/pff-qatar-airways-seals-deal-for-pfl.html,Correct,
9,https://en.wikipedia.org/wiki/Philippines_Football_League,https://www.dugout.ph/pff-president-nonong-araneta-hopeful-on,https://www.dugout.ph/2020/05/pff-president-nonong-araneta-hopeful-on.html,Correct,
10,https://en.wikipedia.org/wiki/2020_Palarong_Pambansa,https://www.dugout.ph/marikina-to-host-palaro-2020-as-occimin,https://www.dugout.ph/2019/12/marikina-to-host-palaro-2020-as-occimin.html,Correct,
11,https://en.wikipedia.org/wiki/2009%E2%80%9310_Football_League_Championship,http://www.football-league.co.uk/championship/news/hughton-named-manager-of-the-month-20091003_2248204_1816465,"http://www.efl.com/page/Error/0,,10794,00.html?httperrorcode=404&httperrorpath=/championship/news/hughton-named-manager-of-the-month-20091003_2248204_1816465/0,,10794,00.html",Incorrect,
12,https://en.wikipedia.org/wiki/2009%E2%80%9310_Football_League_Championship,http://www.football-league.co.uk/championship/news/davies-named-manager-of-the-month-20100109_2248204_1927592,"http://www.efl.com/page/Error/0,,10794,00.html?httperrorcode=404&httperrorpath=/championship/news/davies-named-manager-of-the-month-20100109_2248204_1927592/0,,10794,00.html",Incorrect,
13,https://en.wikipedia.org/wiki/2009%E2%80%9310_Football_League_Championship,http://www.football-league.co.uk/championship/news/jones-named-manager-of-the-month-20091107_2248204_1868671,"http://www.efl.com/page/Error/0,,10794,00.html?httperrorcode=404&httperrorpath=/championship/news/jones-named-manager-of-the-month-20091107_2248204_1868671/0,,10794,00.html",Incorrect,
14,https://en.wikipedia.org/wiki/Robert_Collinson,https://cricketarchive.com/Archive/Players/28/28660/28660.htmlCricket,https://cricketarchive.com/Archive/Players/28/28660/28660.html,Correct,
15,https://en.wikipedia.org/wiki/Rasmus_Kofoed_(cricketer),https://cricketarchive.com/Archive/Players/45/45497/Other_matches.html,https://cricketarchive.com/Archive/Players/45/45497/45497.html,Correct,
16,https://en.wikipedia.org/wiki/Prince_Christian_Victor_of_Schleswig-Holstein,https://cricketarchive.com/Archive/Players/28/28535/Other_matches.html,https://cricketarchive.com/Archive/Players/28/28535/28535.html,Correct,
17,https://en.wikipedia.org/wiki/Kenneth_Came,https://cricketarchive.com/Archive/Players/28/28396/Other_matches.html,https://cricketarchive.com/Archive/Players/28/28396/28396.html,Correct,
